Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-MAR-2019,9473.85,9540.95,9471.4,9499.4,1861141517.0,45646.05
18-MAR-2019,9536.05,9572.95,9481.65,9516.7,1413548415.0,31362.44
19-MAR-2019,9549.75,9576.05,9513.45,9570.15,1553819264.0,32443.88
20-MAR-2019,9587.5,9588.5,9540.9,9553.0,1519215955.0,34165.49
22-MAR-2019,9572.35,9594.1,9485.45,9500.05,1566059510.0,34280.42
25-MAR-2019,9446.85,9446.85,9381.9,9411.65,1267948932.0,27995.37
26-MAR-2019,9431.9,9522.45,9421.6,9512.6,1475115700.0,31022.05
27-MAR-2019,9552.2,9569.6,9475.4,9501.8,1564260248.0,35985.2
28-MAR-2019,9518.7,9613.55,9510.8,9601.95,1882550220.0,45876.98
29-MAR-2019,9647.75,9667.45,9613.0,9663.7,1875536376.0,39926.75
01-APR-2019,9703.0,9756.3,9683.95,9702.0,1581590493.0,35213.37
02-APR-2019,9735.05,9735.05,9681.6,9720.8,1613306134.0,34557.44
03-APR-2019,9742.35,9765.65,9647.2,9658.4,1471683876.0,35272.38
04-APR-2019,9674.0,9675.2,9590.85,9626.65,1509400181.0,34272.31
05-APR-2019,9659.65,9700.4,9641.45,9684.95,1256930002.0,28733.09
08-APR-2019,9715.45,9719.95,9593.85,9634.4,1368193376.0,29359.89
09-APR-2019,9641.9,9685.85,9594.95,9677.75,1197577979.0,28808.55
10-APR-2019,9661.55,9690.35,9612.85,9622.95,1231430516.0,35536.91
11-APR-2019,9630.15,9641.75,9599.2,9634.55,1176516005.0,27452.63
12-APR-2019,9646.6,9682.3,9626.95,9674.6,1247836014.0,27288.81
15-APR-2019,9697.65,9726.85,9683.8,9716.5,1287769280.0,28116.56
16-APR-2019,9751.35,9796.1,9748.7,9781.4,1341665199.0,32585.52
18-APR-2019,9826.45,9826.45,9721.4,9738.7,1438090949.0,34657.71
22-APR-2019,9715.95,9715.95,9591.8,9599.8,1124113976.0,25665.0
23-APR-2019,9614.85,9642.15,9577.0,9587.3,1233581473.0,28315.59
24-APR-2019,9607.4,9696.55,9585.25,9687.55,1288201931.0,30507.72
25-APR-2019,9697.8,9742.85,9616.3,9628.8,1654760954.0,43730.22
26-APR-2019,9661.1,9695.4,9632.05,9689.7,1242303816.0,30594.33
30-APR-2019,9684.8,9684.8,9592.15,9664.3,1598971958.0,37132.37
02-MAY-2019,9646.4,9694.95,9620.7,9637.5,1451787510.0,32502.76
03-MAY-2019,9637.5,9665.5,9613.6,9624.55,1194985189.0,27752.98
06-MAY-2019,9544.95,9567.4,9513.85,9532.45,1132430027.0,26630.09
07-MAY-2019,9573.3,9578.55,9441.5,9450.8,1293893456.0,29319.34
08-MAY-2019,9433.1,9433.45,9331.7,9340.25,1485441576.0,30450.6
09-MAY-2019,9313.55,9339.55,9261.5,9299.75,1332587410.0,28895.62
10-MAY-2019,9309.35,9335.15,9271.1,9290.2,1410355040.0,30364.43
13-MAY-2019,9274.05,9288.85,9143.95,9159.95,1448550879.0,28370.5
14-MAY-2019,9156.0,9261.85,9108.45,9212.35,1610461883.0,33618.66
15-MAY-2019,9247.15,9265.65,9145.8,9160.1,1354437542.0,30657.43
16-MAY-2019,9176.5,9238.95,9136.4,9221.65,1288215233.0,29252.22
17-MAY-2019,9224.75,9339.35,9221.6,9329.7,1401303801.0,34216.41
20-MAY-2019,9538.3,9681.1,9485.85,9671.9,1760816962.0,41799.17
21-MAY-2019,9701.0,9713.5,9556.75,9578.85,1357571039.0,35415.51
22-MAY-2019,9595.6,9629.75,9555.8,9598.2,1471502814.0,33356.53
23-MAY-2019,9730.0,9835.7,9521.6,9552.75,2087015693.0,49513.7
24-MAY-2019,9618.75,9728.8,9563.6,9722.05,1618253254.0,39404.87
27-MAY-2019,9732.65,9820.95,9702.5,9804.9,1493184953.0,35689.74
28-MAY-2019,9834.95,9834.95,9768.3,9815.5,2083466862.0,50844.24
29-MAY-2019,9802.4,9812.0,9737.95,9757.15,1228742600.0,29829.53
30-MAY-2019,9762.8,9827.25,9759.5,9815.3,1700060759.0,35645.48
31-MAY-2019,9855.55,9889.3,9734.2,9805.05,1722900417.0,40664.99
03-JUN-2019,9827.75,9931.65,9796.85,9922.6,1186517526.0,31863.94
04-JUN-2019,9898.0,9941.45,9865.6,9876.2,1222700958.0,30135.7
06-JUN-2019,9889.55,9889.55,9712.05,9722.5,1535007689.0,36565.33
07-JUN-2019,9736.05,9761.75,9653.7,9735.85,1358725281.0,29256.42
10-JUN-2019,9784.45,9813.65,9727.9,9765.85,1501544968.0,25690.54
11-JUN-2019,9791.9,9826.65,9743.05,9805.1,1403396274.0,27744.02
12-JUN-2019,9801.95,9802.05,9727.75,9749.95,1126421205.0,24974.71
13-JUN-2019,9727.15,9758.9,9668.05,9747.05,1364817828.0,30110.12
14-JUN-2019,9742.8,9745.15,9652.6,9669.95,1208570037.0,27628.29
17-JUN-2019,9681.9,9681.95,9533.35,9543.6,1168363037.0,27495.66
18-JUN-2019,9547.5,9587.05,9514.1,9551.35,1394995294.0,28194.06
19-JUN-2019,9592.15,9634.15,9476.1,9526.2,1778939283.0,32158.01
20-JUN-2019,9501.55,9655.25,9476.25,9646.0,1877804938.0,31902.84
21-JUN-2019,9641.15,9641.25,9566.1,9581.6,1724488279.0,38352.72
24-JUN-2019,9585.95,9605.05,9543.4,9564.1,1303669501.0,24312.1
25-JUN-2019,9548.65,9643.75,9525.95,9632.85,1394460923.0,28895.71
26-JUN-2019,9611.95,9699.65,9604.15,9682.8,1657315235.0,29649.25
27-JUN-2019,9694.55,9733.95,9675.5,9692.35,2023509131.0,40069.1
28-JUN-2019,9707.45,9713.75,9644.1,9657.95,1289867464.0,28607.2
01-JUL-2019,9697.0,9724.35,9691.9,9713.0,1077596417.0,23708.17
02-JUL-2019,9734.75,9750.05,9675.8,9744.85,1196770112.0,24392.96
03-JUL-2019,9762.85,9774.8,9731.5,9757.3,1065751622.0,25094.2
